Date,Close,Revenue,GDP
2019/5/9,125.5,30.6,21274.89376
2019/5/10,127.129997,30.6,21274.89376
2019/5/13,123.349998,30.6,21274.89376
2019/5/14,124.730003,30.6,21274.89376
2019/5/15,126.019997,30.6,21274.89376
2019/5/16,128.929993,30.6,21274.89376
2019/5/17,128.070007,30.6,21274.89376
2019/5/20,126.220001,30.6,21274.89376
2019/5/21,126.900002,30.6,21274.89376
2019/5/22,127.669998,30.6,21274.89376
2019/5/23,126.18,30.6,21274.89376
2019/5/24,126.239998,30.6,21274.89376
2019/5/28,126.160004,30.6,21274.89376
2019/5/29,124.940002,30.6,21274.89376
2019/5/30,125.730003,30.6,21274.89376
2019/5/31,123.68,30.6,21274.89376
2019/6/3,119.839996,30.6,21395.01645
2019/6/4,123.160004,30.6,21395.01645
2019/6/5,125.830002,30.6,21395.01645
2019/6/6,127.82,30.6,21395.01645
2019/6/7,131.399994,30.6,21395.01645
2019/6/10,132.600006,30.6,21395.01645
2019/6/11,132.100006,30.6,21395.01645
2019/6/12,131.490005,30.6,21395.01645
2019/6/13,132.320007,30.6,21395.01645
2019/6/14,132.449997,30.6,21395.01645
2019/6/17,132.850006,30.6,21395.01645
2019/6/18,135.160004,30.6,21395.01645
2019/6/19,135.690002,30.6,21395.01645
2019/6/20,136.949997,30.6,21395.01645
2019/6/21,136.970001,30.6,21395.01645
2019/6/24,137.779999,30.6,21395.01645
2019/6/25,133.429993,30.6,21395.01645
2019/6/26,133.929993,30.6,21395.01645
2019/6/27,134.149994,30.6,21395.01645
2019/6/28,133.960007,30.6,21395.01645
2019/7/1,135.679993,33.7,21459.56958
2019/7/2,136.580002,33.7,21459.56958
2019/7/3,137.460007,33.7,21459.56958
2019/7/5,137.059998,33.7,21459.56958
2019/7/8,136.960007,33.7,21459.56958
2019/7/9,136.460007,33.7,21459.56958
2019/7/10,137.850006,33.7,21459.56958
2019/7/11,138.399994,33.7,21459.56958
2019/7/12,138.899994,33.7,21459.56958
2019/7/15,138.899994,33.7,21459.56958
2019/7/16,137.080002,33.7,21459.56958
2019/7/17,136.270004,33.7,21459.56958
2019/7/18,136.419998,33.7,21459.56958
2019/7/19,136.619995,33.7,21459.56958
2019/7/22,138.429993,33.7,21459.56958
2019/7/23,139.289993,33.7,21459.56958
2019/7/24,140.720001,33.7,21459.56958
2019/7/25,140.190002,33.7,21459.56958
2019/7/26,141.339996,33.7,21459.56958
2019/7/29,141.029999,33.7,21459.56958
2019/7/30,140.350006,33.7,21459.56958
2019/7/31,136.270004,33.7,21459.56958
2019/8/1,138.059998,33.7,21506.73542
2019/8/2,136.899994,33.7,21506.73542
2019/8/5,132.210007,33.7,21506.73542
2019/8/6,134.690002,33.7,21506.73542
2019/8/7,135.279999,33.7,21506.73542
2019/8/8,138.889999,33.7,21506.73542
2019/8/9,137.710007,33.7,21506.73542
2019/8/12,135.789993,33.7,21506.73542
2019/8/13,138.600006,33.7,21506.73542
2019/8/14,133.979996,33.7,21506.73542
2019/8/15,133.679993,33.7,21506.73542
2019/8/16,136.130005,33.7,21506.73542
2019/8/19,138.410004,33.7,21506.73542
2019/8/20,137.259995,33.7,21506.73542
2019/8/21,138.789993,33.7,21506.73542
2019/8/22,137.779999,33.7,21506.73542
2019/8/23,133.389999,33.7,21506.73542
2019/8/26,135.449997,33.7,21506.73542
2019/8/27,135.740005,33.7,21506.73542
2019/8/28,135.559998,33.7,21506.73542
2019/8/29,138.119995,33.7,21506.73542
2019/8/30,137.860001,33.7,21506.73542
2019/9/3,136.039993,33.7,21548.73101
2019/9/4,137.630005,33.7,21548.73101
2019/9/5,140.050003,33.7,21548.73101
2019/9/6,139.100006,33.7,21548.73101
2019/9/9,137.520004,33.7,21548.73101
2019/9/10,136.080002,33.7,21548.73101
2019/9/11,136.119995,33.7,21548.73101
2019/9/12,137.520004,33.7,21548.73101
2019/9/13,137.320007,33.7,21548.73101
2019/9/16,136.330002,33.7,21548.73101
2019/9/17,137.389999,33.7,21548.73101
